迭代次数,全局最优适应度,平均适应度,最优粒子适应度
0,0.5909175831771671,0.8020380723252599,0.5909175831771671
1,0.5909175831771671,0.8113428012583346,0.5909175831771671
2,0.5909175831771671,0.8146077427950231,0.5909175831771671
3,0.5909175831771671,0.8152389683362364,0.5909175831771671
4,0.5909175831771671,0.816332874193867,0.5909175831771671
5,0.5909175831771671,0.8101392308979227,0.5909175831771671
6,0.5909175831771671,0.8113063365325488,0.5909175831771671
7,0.5909175831771671,0.819692696833814,0.5909175831771671
8,0.5909175831771671,0.8271235614380995,0.5909175831771671
9,0.5909175831771671,0.8103411758282093,0.5909175831771671
10,0.5909175831771671,0.8110525517383783,0.5909175831771671
11,0.5909175831771671,0.8234945666052159,0.5909175831771671
12,0.5909175831771671,0.8074750803954498,0.5909175831771671
13,0.5909175831771671,0.8139364942572545,0.5909175831771671
14,0.5909175831771671,0.8129473217730145,0.5909175831771671
15,0.5909175831771671,0.8193429321559339,0.5909175831771671
16,0.5909175831771671,0.8152033397621287,0.5909175831771671
17,0.5909175831771671,0.8080227495814526,0.5909175831771671
18,0.5909175831771671,0.8157440336907754,0.5909175831771671
19,0.5909175831771671,0.8191109619381627,0.5909175831771671
20,0.5909175831771671,0.8156968163022014,0.5909175831771671
21,0.5909175831771671,0.8196040616509456,0.5909175831771671
22,0.5909175831771671,0.8143024077399036,0.5909175831771671
23,0.5909175831771671,0.822140115818839,0.5909175831771671
24,0.5909175831771671,0.8182662111581444,0.5909175831771671
25,0.5909175831771671,0.8164623853948489,0.5909175831771671
26,0.5909175831771671,0.8218418537202962,0.5909175831771671
27,0.5909175831771671,0.8160548454609508,0.5909175831771671
28,0.5909175831771671,0.8190783114117015,0.5909175831771671
29,0.5909175831771671,0.8166716311262767,0.5909175831771671
30,0.5909175831771671,0.8142738750715313,0.5909175831771671
31,0.5909175831771671,0.80719994819555,0.5909175831771671
32,0.5909175831771671,0.8238186670227754,0.5909175831771671
33,0.5909175831771671,0.8231779503805697,0.5909175831771671
34,0.5909175831771671,0.8213774594787282,0.5909175831771671
35,0.5909175831771671,0.8221119658853214,0.5909175831771671
36,0.5909175831771671,0.8221314307751598,0.5909175831771671
37,0.5909175831771671,0.8204024559006293,0.5909175831771671
38,0.5909175831771671,0.8160934773165522,0.5909175831771671
39,0.5909175831771671,0.8147634338372285,0.5909175831771671
40,0.5909175831771671,0.8151039274295829,0.5909175831771671
41,0.5909175831771671,0.8239022961889397,0.5909175831771671
42,0.5909175831771671,0.8145922163283937,0.5909175831771671
43,0.5909175831771671,0.8167387632360292,0.5909175831771671
44,0.5909175831771671,0.8212420511143732,0.5909175831771671
45,0.5909175831771671,0.8169158022686311,0.5909175831771671
46,0.5909175831771671,0.8198182891025669,0.5909175831771671
47,0.5909175831771671,0.8214706227079405,0.5909175831771671
48,0.5909175831771671,0.8226244437588365,0.5909175831771671
49,0.5909175831771671,0.8127353109585139,0.5909175831771671
50,0.5909175831771671,0.809804560499991,0.5909175831771671
51,0.5909175831771671,0.8184314508909017,0.5909175831771671
52,0.5909175831771671,0.8205141587935466,0.5909175831771671
53,0.5909175831771671,0.8187103811603476,0.5909175831771671
54,0.5909175831771671,0.8151063551414126,0.5909175831771671
55,0.5909175831771671,0.8197960918573185,0.5909175831771671
56,0.5909175831771671,0.8251104500426257,0.5909175831771671
57,0.5909175831771671,0.8247547007700075,0.5909175831771671
58,0.5909175831771671,0.8272724752414584,0.5909175831771671
59,0.5909175831771671,0.8138121409622606,0.5909175831771671
60,0.5909175831771671,0.8229793837242343,0.5909175831771671
61,0.5909175831771671,0.8178673606628653,0.5909175831771671
62,0.5909175831771671,0.8268102219972567,0.5909175831771671
63,0.5909175831771671,0.8141666339240472,0.5909175831771671
64,0.5909175831771671,0.815259188172005,0.5909175831771671
65,0.5909175831771671,0.8103556213676367,0.5909175831771671
66,0.5909175831771671,0.8186091122161181,0.5909175831771671
67,0.5909175831771671,0.8202832327281615,0.5909175831771671
68,0.5909175831771671,0.8272089125201632,0.5909175831771671
69,0.5909175831771671,0.8357599705102055,0.5909175831771671
70,0.5909175831771671,0.8287709037195076,0.5909175831771671
71,0.5909175831771671,0.8346274060529295,0.5909175831771671
72,0.5909175831771671,0.8246316768709377,0.5909175831771671
73,0.5909175831771671,0.8222969270381358,0.5909175831771671
74,0.5909175831771671,0.8277735549909917,0.5909175831771671
75,0.5909175831771671,0.8294862334642926,0.5909175831771671
76,0.5909175831771671,0.8217370898063145,0.5909175831771671
77,0.5909175831771671,0.8268233279686128,0.5909175831771671
78,0.5909175831771671,0.8124563623833205,0.5909175831771671
79,0.5909175831771671,0.8180524401854383,0.5909175831771671
80,0.5909175831771671,0.8205209563619873,0.5909175831771671
81,0.5909175831771671,0.8209207849341993,0.5909175831771671
82,0.5909175831771671,0.8221085547298063,0.5909175831771671
83,0.5909175831771671,0.8243560559910478,0.5909175831771671
84,0.5909175831771671,0.816757806580267,0.5909175831771671
85,0.5909175831771671,0.8263925146756285,0.5909175831771671
86,0.5909175831771671,0.8256671559361196,0.5909175831771671
87,0.5909175831771671,0.8156306605126741,0.5909175831771671
88,0.5909175831771671,0.8118651832581435,0.5909175831771671
89,0.5909175831771671,0.8138543073536212,0.5909175831771671
90,0.5909175831771671,0.8195093612736065,0.5909175831771671
91,0.5909175831771671,0.8193203564224723,0.5909175831771671
92,0.5909175831771671,0.8244915585468445,0.5909175831771671
93,0.5909175831771671,0.8172785754355977,0.5909175831771671
94,0.5909175831771671,0.8201546784064716,0.5909175831771671
95,0.5909175831771671,0.8223892418459378,0.5909175831771671
96,0.5909175831771671,0.8164757563899633,0.5909175831771671
97,0.5909175831771671,0.8181320922669648,0.5909175831771671
98,0.5909175831771671,0.8120233945525739,0.5909175831771671
99,0.5909175831771671,0.8159960378366117,0.5909175831771671
100,0.5909175831771671,0.820704239037471,0.5909175831771671
101,0.5909175831771671,0.815201289107226,0.5909175831771671
102,0.5909175831771671,0.818814579364461,0.5909175831771671
103,0.5909175831771671,0.8177701285766965,0.5909175831771671
104,0.5909175831771671,0.8297989258664965,0.5909175831771671
105,0.5909175831771671,0.8232357501044525,0.5909175831771671
106,0.5909175831771671,0.8181495119982819,0.5909175831771671
107,0.5909175831771671,0.8150763670115908,0.5909175831771671
108,0.5909175831771671,0.8175787357322624,0.5909175831771671
109,0.5909175831771671,0.8240324338830446,0.5909175831771671
110,0.5909175831771671,0.824517833482218,0.5909175831771671
111,0.5909175831771671,0.8317340288351666,0.5909175831771671
112,0.5909175831771671,0.8213830311692186,0.5909175831771671
113,0.5909175831771671,0.820964082270537,0.5909175831771671
114,0.5909175831771671,0.8232611785968672,0.5909175831771671
115,0.5909175831771671,0.8214450273258025,0.5909175831771671
116,0.5909175831771671,0.8208553550104107,0.5909175831771671
117,0.5909175831771671,0.8160771965545038,0.5909175831771671
118,0.5909175831771671,0.8192406323935927,0.5909175831771671
119,0.5909175831771671,0.8184813823886873,0.5909175831771671
120,0.5909175831771671,0.8175097800161965,0.5909175831771671
121,0.5909175831771671,0.8288330882979245,0.5909175831771671
122,0.5909175831771671,0.8200057756230993,0.5909175831771671
123,0.5909175831771671,0.820918293875748,0.5909175831771671
124,0.5909175831771671,0.828416524257516,0.5909175831771671
