迭代次数,全局最优适应度,平均适应度,最优粒子适应度
0,0.684275144665516,0.8859289314931452,0.684275144665516
1,0.684275144665516,0.9032483509780633,0.684275144665516
2,0.684275144665516,0.8827866917330199,0.684275144665516
3,0.684275144665516,0.888999079535645,0.684275144665516
4,0.684275144665516,0.8883276681238893,0.684275144665516
5,0.684275144665516,0.889007404576051,0.684275144665516
6,0.684275144665516,0.8865879661598541,0.684275144665516
7,0.684275144665516,0.8859219419177548,0.684275144665516
8,0.684275144665516,0.8854417713565763,0.684275144665516
9,0.684275144665516,0.8853956228620887,0.684275144665516
10,0.684275144665516,0.8887230855852382,0.684275144665516
11,0.6426730081395866,0.879550945050448,0.6426730081395866
12,0.6426730081395866,0.8734785662326044,0.6426730081395866
13,0.6426730081395866,0.8584011300051917,0.6426730081395866
14,0.6426730081395866,0.863837123198635,0.6426730081395866
15,0.6426730081395866,0.85878681709141,0.6426730081395866
16,0.6426730081395866,0.8631035284168526,0.6426730081395866
17,0.6426730081395866,0.8612335877156397,0.6426730081395866
18,0.6426730081395866,0.8609273026580609,0.6426730081395866
19,0.6426730081395866,0.8559037701333293,0.6426730081395866
20,0.6426730081395866,0.8643967233163323,0.6426730081395866
21,0.6426730081395866,0.8644776503300234,0.6426730081395866
22,0.6426730081395866,0.8615901557301475,0.6426730081395866
23,0.6426730081395866,0.8647742302251632,0.6426730081395866
24,0.6426730081395866,0.8559757853267227,0.6426730081395866
25,0.6426730081395866,0.8581467640240408,0.6426730081395866
26,0.6426730081395866,0.8607898480814417,0.6426730081395866
27,0.6426730081395866,0.8535760340343127,0.6426730081395866
28,0.6426730081395866,0.8494918301900088,0.6426730081395866
29,0.6426730081395866,0.8561852478624078,0.6426730081395866
30,0.6426730081395866,0.8496984934405263,0.6426730081395866
31,0.6426730081395866,0.8554587833091426,0.6426730081395866
32,0.6426730081395866,0.8631806932126487,0.6426730081395866
33,0.6426730081395866,0.8574051856959016,0.6426730081395866
34,0.6426730081395866,0.8594697528112087,0.6426730081395866
35,0.6426730081395866,0.8589443831879902,0.6426730081395866
36,0.6426730081395866,0.8602181262638402,0.6426730081395866
37,0.6426730081395866,0.8593116122387354,0.6426730081395866
38,0.6426730081395866,0.8519725219101977,0.6426730081395866
39,0.6426730081395866,0.8589369058247953,0.6426730081395866
40,0.6426730081395866,0.8573462642641345,0.6426730081395866
41,0.6426730081395866,0.8607125173049507,0.6426730081395866
42,0.6426730081395866,0.856842427469073,0.6426730081395866
43,0.6426730081395866,0.8577361138810801,0.6426730081395866
44,0.6426730081395866,0.8617129048667109,0.6426730081395866
45,0.6426730081395866,0.8629072662123,0.6426730081395866
46,0.6426730081395866,0.8663160270879393,0.6426730081395866
47,0.6426730081395866,0.8637527918527667,0.6426730081395866
48,0.6426730081395866,0.8607083416388822,0.6426730081395866
49,0.6426730081395866,0.852905560823868,0.6426730081395866
50,0.6426730081395866,0.8677211659478743,0.6426730081395866
51,0.6426730081395866,0.8680732034051104,0.6426730081395866
52,0.6426730081395866,0.8601162299629519,0.6426730081395866
53,0.6426730081395866,0.8636894712050958,0.6426730081395866
54,0.6426730081395866,0.8669893193326423,0.6426730081395866
55,0.6426730081395866,0.8703468153236511,0.6426730081395866
56,0.6426730081395866,0.8781639178226099,0.6426730081395866
57,0.6426730081395866,0.8644346579439904,0.6426730081395866
58,0.6426730081395866,0.865088396291284,0.6426730081395866
59,0.6426730081395866,0.8682548699543244,0.6426730081395866
60,0.6426730081395866,0.8655910909607158,0.6426730081395866
61,0.6426730081395866,0.8703193131216793,0.6426730081395866
62,0.6426730081395866,0.8665905688571359,0.6426730081395866
63,0.6426730081395866,0.8609262619941308,0.6426730081395866
64,0.6426730081395866,0.8619768713572945,0.6426730081395866
65,0.6426730081395866,0.8634404839488288,0.6426730081395866
66,0.6426730081395866,0.8661247523019239,0.6426730081395866
67,0.6426730081395866,0.8676038954101958,0.6426730081395866
68,0.6426730081395866,0.8717446293842934,0.6426730081395866
69,0.6426730081395866,0.8661388130772599,0.6426730081395866
70,0.6426730081395866,0.8656956986182999,0.6426730081395866
71,0.6426730081395866,0.8722780708778066,0.6426730081395866
72,0.6426730081395866,0.8607550609174924,0.6426730081395866
73,0.6426730081395866,0.8540274568853685,0.6426730081395866
74,0.6426730081395866,0.8603363452863008,0.6426730081395866
75,0.6426730081395866,0.8565224096963493,0.6426730081395866
76,0.6426730081395866,0.8571563083026372,0.6426730081395866
77,0.6426730081395866,0.8642474596444727,0.6426730081395866
78,0.6426730081395866,0.8682726714834598,0.6426730081395866
79,0.6426730081395866,0.8687410299346584,0.6426730081395866
80,0.6426730081395866,0.8575114910262838,0.6426730081395866
81,0.6426730081395866,0.8600300829766888,0.6426730081395866
82,0.6426730081395866,0.8700956732925128,0.6426730081395866
83,0.6426730081395866,0.8611585705435403,0.6426730081395866
84,0.6426730081395866,0.8658772723554833,0.6426730081395866
85,0.6426730081395866,0.86732746121503,0.6426730081395866
86,0.6426730081395866,0.8727872322949068,0.6426730081395866
87,0.6426730081395866,0.8724666562237045,0.6426730081395866
88,0.6426730081395866,0.8773192276888429,0.6426730081395866
89,0.6426730081395866,0.8639854415932132,0.6426730081395866
90,0.6426730081395866,0.860330363708992,0.6426730081395866
91,0.6426730081395866,0.8622014010864346,0.6426730081395866
92,0.6426730081395866,0.8674529180447835,0.6426730081395866
93,0.6426730081395866,0.870021510668866,0.6426730081395866
94,0.6426730081395866,0.8717362414849967,0.6426730081395866
95,0.6426730081395866,0.8641298752613773,0.6426730081395866
96,0.6426730081395866,0.8637546598866765,0.6426730081395866
97,0.6426730081395866,0.862381041943053,0.6426730081395866
98,0.6426730081395866,0.8651202059338746,0.6426730081395866
99,0.6426730081395866,0.8620635832897825,0.6426730081395866
100,0.6426730081395866,0.8622097397384381,0.6426730081395866
